	H1C	H2C	H3C	C1C	C2C	C3C	gor1C	Pon1C	SiaC1	SiaC2	rhesus1C	rhesus2C	rhesus3C	Bab1C	Bab2C	Bab3C	Mar1C	Mar2C	Mar3C	sqmnky1C	saki1C	ateles1C	ateles2C	Nem1C	patas1C	patas2C	patas3C	lemur1C	lemur2C	eulemur1C	sleloris1C	slowloris1C	slowloris2C	pygslowloris1C 
NG_034133.1	133.94	94.35	166.15	395	210	112	571	91	930	866.99	603	829.07	380	89	134	103	308	168	178	284	781	85.9	679	288	363	851	909	1079	269.71	657	842	1343	283	83
NG_034145.1	34	23	13	1134.34	2089.4	2444.26	794.12	10	879	1569	2337.73	1920.56	1113.56	1132	2074	2887	12	50	44	663	17	895	2854	705.21	1367	1207	1095	1	18	19	6	2	5	5
NG_034149.1	637	443	490	1483	672	562	116	7	515.53	706.97	1163.54	1192.65	739.89	61	10	4	2018.35	1629.51	1305.23	28	111	32	0	26	12	65	95	81	43	19	287	15	16	10
NG_034153.2	1037	386	531	683	532	291	1287.43	955	747	1906	2583	2253	1576	1028	1459	1387	391.29	534.53	380.95	1207	181	2596	147	1962	2010.62	2838.84	2217.22	1035	951	8	183	34.83	6.99	9
NG_034154.1	10193	3254	9291	5006.92	2323.14	1106.39	6506	2601.41	4721	6112	9354	8004	5064	2375.66	3257.74	2808.47	3600	3844	3169	2948.96	5350	6535	884	10231.03	9209	9106	8271	617.43	487.91	6771.77	1424	5877	4763	3986.98
NG_034158.1	799.13	168	443	1715.05	1428	1450.39	518.75	218.41	203.34	464.61	3144.97	3500.98	1504.72	1512	4142	5735	902	1744	1199	435	245	3763.04	1480.41	982.5	1473.73	1265.23	1498.55	18	12	1856	431	2717.67	1099.46	17
NG_034164.1	1940	609	1559	1607	962	1092.49	22	17	11	27	18	19	9	1290	360	324	101	87	77	45	6	5	52	19	72	90	50	19	30	15.44	123	23	5	43
NG_034197.1	35	25	3	8188.31	4978.69	5170.01	6609	5546	4320.76	2893	254.44	213.88	147.04	2398.73	7090.45	9207.59	7870.92	14666.82	12078.8	7379	51	10274.2	8104	1055.08	259	198.66	110.45	2615	925	18	53	507	193	250
NG_034198.1	6382	1830	3651	5378	3804	2101	3689	2074.63	4068	4533	10390.57	10167.09	5140.55	5385.73	16021.42	11810.24	14410.28	15301.85	12483.53	19684.93	11012.52	10566	5211.01	6590	7071	6711	6799	21677	10415	17960	11.5	14779	2280	7
NG_034199.1	3984	978	2052	37	18	34	91.76	11	60	128	2851	2617	2197	95	37	61	2327.01	2250	2343	1331	136	3	294	165	241	285	332	20	1	73	290	27	63.46	7
NG_034200.1	686	269	498	2941.95	1389	1065	3134	38	2235	4864	5397.39	4552	3106	5165	2303	1549	1512.2	940.87	815.76	2431	148	73	85	3516	2511	3592	4222	19.8	19.94	33	34	4742	1262	2853
NG_034202.1	31.35	80	16	174	23	59	12	195	30	62	1445.82	1325.77	1061.39	611.87	100	59	59	57	44	174.44	210	94.42	71.96	1283	59	92	209.87	14	4	21	23	180.41	122.5	0
NG_034203.1	23	33.77	9.43	122.07	11	40.18	18	4	188	12.24	158.26	268.31	167.69	129	45	4	66	65	74	57	96	16	27	28	50	111	124	124	98	174	5	1	0	24
NG_034205.1	1279	207	991	636	601	783	211.57	296.52	283	533	1901	1515	987	1594	4649	3231	967	1174	1030	55	436.49	1537	4346	812	17	29	37	21	40	3162.77	3.5	30	14	15
NG_034224.1	3	1	1	42	14	0	2290.63	1201	4450	4504	1852	1937	1062	28	26	30	23	39	19	17	479	9	0	11	1969	1767	1743.87	1	3	10	2	2	8	869
NG_034230.1	1316	1256	439	2004	225	168	733	93	1592	577	469	277	400	1525	1063	547	1774	2178	843	3376	944	462	1596	926	585	1791	1681	1886	234	1175	8286	6350	13217	809
NG_034246.1	15	36	5	604.01	703.58	1276.23	568	54	1002	758	332.04	357	218.07	608.67	1126.79	1756.62	580	847	605	489.85	21	29.39	6	377.16	880.26	763.7	632.96	0	20.36	9.27	64	6	1	428
NG_034254.1	8.77	1.98	27	218	27	35.66	28	3	8	6	621	690	329	31	58	25	578	489	972	2141	7	70	7	17	1	2	2	762	226	828	42	518	79	34.92
NG_034260.1	81	89	15	124	106	4	51	51.56	22	52	83	41	30	145.13	96	142	7098.83	7835.44	5560.02	44	123	585.12	0	25	5788.76	5657.9	8932.43	78	61	411	263197.67	44	42	82
NG_034265.1	842.48	180	756	132.73	108.63	104.81	29	244	12	14	616	561	318	48	48	22	31	32	17	41.23	86	3	0	566	378	391.54	286	63.04	39.2	382	123.84	43	12	843
NG_041778.1	1546	662	1087	665	412	461	657	764	850.12	1332.7	1709	1490	1007	1802.45	554.17	419.55	740	554	492	814	820	1808	974	907.7	920	847	683	3066	2158	32	417	1965	931	20
NG_041781.2	536.13	246.8	390.24	1229.77	301.15	184.38	14	4	99.18	52.79	893	951	531	56	26	11	509	548	706	37.01	2	108	14	47	15	27	11	167.08	154	5	0	11	16	252
NG_041782.1	19	3	3	2282	2850	4078	477	16	35	107	13.67	7	3	13	6	10	23	35	22	12	4	29	0	14	17	9	20	10	0	26	18	1002.37	413.95	725.68
NG_041784.1	23	19	8	52.84	40.11	39.18	912.62	60	352	984	162	143	113	687	349	226	113	77	79	83	433.94	747	582.35	374	378.91	632.31	627.52	42	13	89	5	8	18	949.05
NG_041788.1	112	150	44	2276.6	474.51	126	313	52	395	4660.94	5375	6286	4245	4339.67	1335.36	666.93	6526	6799.53	6837.72	3350	4420	1870	137	2006	1277.07	5238	4966	780	836	26	328.38	2699.97	1150.11	44
NG_041791.1	40	55	10	750	405	234	562	13	90.76	115.95	2192.74	2326	1374.88	2908	867	490	1507	1308	991	1207	61	1147	30	2552	23	28	45	828.19	601.66	54	1193	28	2	9
NG_041797.1	69.18	20.13	34	74	14	32	58	11	23	9	61	75	66	70.9	21	5	132	103	95	85	53	62	162	123	162	62.8	79	17	16	65.98	122.98	84	8	19
NG_041799.1	17	1	0.5	13	0	2	14	0	1739	2314	2361	2065	1452	24	3	2	2932	1935	2191	53	33	1654	479	17	2	14	20	11	4	1638	23	20	3	13
NG_041804.1	12	13	9	16	3	13	24	207	54	53	12	9	9	22	16	17	13	19	15	51	11	20	14	9	22	18	16	0	7	450	0	10	4	316
NG_041806.1	26	11	4	1772	918	514.45	10	3.06	97.75	83.19	2291	2043	1243	2102	7146	9501	2097	2082	1608	1601	354	676	246	13	1231	2018.68	1707	6	0	749	5	16	6	10
NG_041813.1	2654	2796	2346.41	1475	751	2982	2121	368	1861	1077	877	730	606	1232	886	597	351	454	568	5484	3258	1971	1980.01	1015	1414.76	1544.46	1049	3574	1737	2401	11974	9461	8665	2346.11
NG_041815.1	785.65	386.37	530.07	77	11	5	265	593	1056	1812	3377	2772	1878	3640	2437	1514	2086.66	2071.93	1706.98	1946	2148	2392	1196	435.58	2247	2366	1978	2967.92	2044.09	1711.17	34	464	189	77
NG_041822.1	36	7	33	148	164	322	518	12	358	691	32.31	18.27	22	28	8	11	820	648	765.97	29	16	410	535	150	10	17	22	485	450	36	16	36	22	52.83
NG_041826.1	131	20	116	3780.1	1482	1202	4601.11	2363	1278	3718	717.71	870.86	551.27	3970.46	678.3	261.73	8268	7076	6794	2936	2727	233	54	238	2002	4042	4917	0	27	1248	162	88.89	1	78
NG_041827.1	6876.92	1370.61	3335.44	4682	2161	1291	12395.1	2348.33	495.58	3869.82	8551	6917	4613	1163	1838	3087	19516	20780	12913	1384	1396.8	11067	4053	7818	440	493	377	1387	807	1943.83	226	3737.29	466.23	894
NG_041829.1	2579	1172	1282	1535	2647	2862	64	732	526.38	2599	3258	3799	1599	7814.04	20299.97	30554.36	6501	8188	5698	4479	6683.43	1428	1354	794	3997.49	4552	4508.9	1	8	10066	102	6632.87	1388.79	4
NG_041837.1	30.23	26.56	5.49	30	6	0	19	7	5	47	235	196	216	16.32	16	6	397	275	245	237.29	10	280	28	330	226	260	509	336	217	42	18	400.93	190.43	2537.2
NG_041938.1	203.87	245.34	212	234	24	35	19	29	61	8	5	5	3	126	8	0	100.93	96.73	80.09	55	10	0	14	21	12	4	6	6	9	10	19	107	256	12
NG_041939.1	0	111	26	1327	2479	2136	18	5	0	12	1801	1647	806	988	2668	3554	252	268	211	8	16.92	42	26	5	1394	1082	850	12	6	21	19	11	85	647
NG_041943.1	4573.87	1377	2103	9155	1902	820	7303.39	967	141	427.59	7004.56	6749.74	4562.42	404.98	93.53	4.62	9215.57	7669.46	6381.14	5513.99	6437.37	4805.91	913	5686.81	3566.57	4458.72	7501.98	49.94	18.3	66	4329	2467.71	1113.74	102
NG_042046.1	18	26	20	10.37	19.17	84	288	6	174	407	25.06	28	33	22	17	17	541.11	577.22	454.58	28	9	28	0	9	13	12	30	9	6	24	0	15	0	0
NG_042051.1	195.15	93.26	71.58	184	42	33	14	5	77	149	121	136	99	30	10	2	97	90	95	77	35	237	52	38	136	143	225	19	8	19	217	7	0	3.16
NG_042054.1	1480	403	947	129	57	150	24	65	807	1228	57	66	38	96	172	190	72	62	51	641	102	775	657	178	65	133	56	50	91	77.02	194	799.67	353	1236
NG_042060.1	38.39	31	24.27	2537	1353	1309	182	4018.37	479.58	764.65	1081	801	492	3921.02	14428.18	20815.94	141.59	239.55	132.88	56	38	6864	3915	101	3351.02	2992.33	3276.27	1	2	13	371	4800	1982	73
NG_042064.1	3	2	9	101.93	4.34	14.13	380	4	33	69	53	43	31	40	16	2	779.62	643.75	626	119	243.69	86	7	47	1560.64	1797.75	1492.38	31	18	164.51	14	14	2	17
NG_042065.1	39076	8606	33399	17702.05	21485.7	26399.01	647	4401.19	21582	26889	185	137	148	12267	11729	15342	738	729	664	837	373	193	110	21988.49	4696	4817.01	2309	46	41.52	106	6	43	23	20
NG_042093.1	128	148	61	151	20	16	31	8	273	1807.04	8504.11	8690.65	4645.77	2940	1535	712.08	2120	2369	1768	376	283	248	627	75	15	12	21	457	242	238	645	2	33	8
NG_042104.1	0	3	0	1024	229	141	29	1	6	10	79	61	73	191	502	364	6	11	7	386	66	12	5	7	260	191	157	0	3	645	64	6	18	1
NG_042125.1	8	4	3	3	26	58	65	7	11.47	53	9	13	11	1307	259	153	213.03	310.07	194.05	19	8	976	755	8	6	19	21	36	6	10	19	10	73	9
NG_042142.1	40	27	20	363	103	602	32	61.74	296	284	40	67	47	252	76	33	754.19	795.82	673.16	101	3	7	52	15	0	6	5	35	7	16	164	58	64	18
NG_042166.1	263	70	175	109	11	4	687.1	566.47	618	893	1006	963	410	174	111	116	719	1396	869	306	720	1509	130	76	873	882.44	1428.93	2755.75	2392.94	12	20.13	2	0	8
NG_042168.1	2654	733	1495	2271	838	233	1778.51	301	1790	3161	2967	2722	1856	2704	972	498	3905.6	3607.78	2851.72	2539	724.42	2346	163	2550	2001	2223	3136	128	50	1228	173	1018.18	190.87	63
NG_042176.1	1161	704	1604	1332.69	1951.53	3810.97	1441	4515	4417.96	6230.98	6643	5553	3400	78	146	426	365	453	351	77.04	4630	358	1337	5162	5398	5726	4439	9	6	705	23	1372	480	1668.76
NG_042180.1	35.74	89.71	24	6	12	72	4	117.08	23.22	13	10	2	3	0	4	1	1	1	1	430.86	4	127	143	12	9	14	7	50	9	19	166	15	56	12
NG_042181.1	1	0	1	0	2	18	5	79	6	6	23	23	17	522	334	73	4	9.17	0	168	11	329	231	17.9	96	91	92	2	3	128	18	107	13	65
NG_042185.1	29	49	18	1254.97	618.92	695	60	901.76	14	57	36	29	23	45	9	2	3280.92	3044.97	3311	53	1802	1812	820	22	9	15	53	8	13	2	29	12	0	1917.62
NG_042187.1	693	411	398	1635.49	468.37	335	74	20	152	44	1832	1592	1085	1829.73	270.73	154	3099.41	2032.53	2057.13	648	96	192	408	1166.98	845	1309.45	2041.77	372	148	126	62	653	307.26	63
NG_042194.1	396	118	453	376	256	517	149	124	279	235	19	11	12	4	7	5	229	336	303	2	47	180	62	185	7	4	14	17	0	7.46	25	84	28	7
NG_042216.1	6567	4906	5665	18703.17	8553.02	4621.43	8787	3516	4284	16908	18784.36	22725.6	12513.58	15980.81	5402.37	2132	29862	40312	35749	22280	14905	8490	3319	8034	11954.9	24990.41	19833.51	161	11	48	4216	23485.59	17157.42	1910.78
NG_042223.1	98.16	38.07	35.97	11038	14273.65	24747	38	1448	7987.04	8179	24379.27	24320.15	12180.47	5242.16	11928.85	17671	4703	9887	6897	11924	9415.82	1813	780.97	9868.98	20666.68	21299.98	18894.9	8377	2310	52434.36	168.74	11	4	2412
NG_042228.1	6216	1338	4826	3801.69	2516	838.98	1985	286	3148	4354	5864.75	5407	3262	4822	3560	2330	4775.15	4776.32	4133.47	1092.77	64	312	38	3025	2598	2837	2409	1384	807	1044	26	166	44	126
NG_042234.1	43.02	39.28	0	54.61	15	3	1644	561	2283.59	3306.56	1985	1600	990	2422.22	3542.85	4127.44	71.53	90	35.99	726	22	1137	116	1294.62	57	28	50	7777	2728	2732	35	215.39	194.51	3698.78
NG_042268.1	72	4	27	3025.81	2548.12	2870.29	154	118.1	2918	4303	2362.16	2126.77	1440.24	2902	3087	2195	4902	4856	3799	43	64	67	10	148.73	100	65	121	12	28	215	707	94.02	21	171.25
NG_042271.1	1120.83	191.14	462	2414.76	757.49	240.8	2652	1062	1779.09	4894.91	2420	2294	1424	3211.64	3631.53	3515.45	2823.09	3015.78	2035.16	781	1739	414	2216	1985.74	183.08	100.35	180.66	209	118	11	7	179.95	407	6
NG_042272.1	529	220	293	58	11	51	2018.66	126	682	595	219	208	169	268	82	49	73	52	38	1021	921.85	3703	109	1195.87	1255.86	1847.36	2303.88	15	33	15.72	361	1536	1015	143.2
NG_042273.1	5077	1408.48	2998	5396	2759	795	5746	225	397	1100	7382	5511	3615	5838.89	3657.35	2742.62	230	194	120	15	1790	4345	523	4976	2848	2839	2740	1713	1555	1900	67	122.62	27.77	1785
NG_042277.1	371.06	291.97	98.07	1341	457	325	2207	61	81	18	31	54	57	899	200	103	75.33	56.97	46.13	1533	89.19	777	174	610.01	24	18	41	50	23	195	588	1926	628	1330
NG_042279.2	11	8	9	19	0	10	2698.96	185	1157	1749	1895	1469	870	60	29	24	29	26	26	11	29	1541	869	1940	2356	2085	1390	1406	2108	9	0	21	13	24
NG_042283.1	5720	1710	3272	1454	1392	1121	808	546	1273.54	2291	4992.66	3855.75	2850.91	1267	1873	1980	5	5	4	4201	2325	44	3	1027	241	243	92	687	578	8	167.84	140	93	462.38
NG_042284.1	521	229.18	279	499	223	197	169	128	71	12	122	69	69	142	108	89	550	583	524	62	26	289	344	150	160	139	111	7	5	277	56	124	76	246
NG_042285.1	38548	7935	24399	44588	14110	5863	20163.94	73.2	10666	19050	34480	35765	14724	22536	20843	18707	25109	32292	22823	42	22	131	38	21967	6233.91	6668.89	5023.8	24254.46	12582.07	27129.59	36.81	33239	15618	34073
NG_042286.1	37.32	57	21	2055	200	182	48	9	53	95	1933	2138	1363	1689	430	236	97.24	70.68	78.6	147	181	161	10	560	30	54	66	31	30	23.03	78	22	2	46
NG_042289.1	204.54	146	175	846	369	337	134	258	48	19	32	55	114	157	15	3	62	52	73	6	3	0	50	547	18	102	33	202	148	603	258	9	53	44
NG_042292.1	887	213	617	3213.31	1333	895	2176.3	50	1219.68	1525.23	143.43	151.66	100.42	1594	747	214.39	2265	1785	1592	624	10231.42	1936	1306	862	142	193	141	41	19	50	24	0	11	9
NG_042293.1	447	193	472	0	7	103	8	4	10	1	32.37	41	25	38	5	2	101	365	226	4076	76	13	36	741.39	10	19	25	25.71	4.7	75.88	130	92	263	17
NG_042305.1	20	53	4	3984	1940	860	4836.55	58	7015	10511	4525	5190	2742	72	15	1	155.31	194.22	93.54	11887	52	70	284	32	4067	4449	4537	26	3	26.03	25	37.02	32	10
NG_042309.1	2	1	2	0	3	14	1	2	2	14	1	12	9.27	4	4	0	14	9	21	3.72	0	2	9	6	0.96	32	1.92	1	4	2	5.99	660	51	566
NG_042789.1	1342	363	801	1637	456	640.78	2539	71	1116	2387	3491	3380	2015	2970.17	654	285	3225.1	3398.21	3150.84	90	111.87	15	327	2167.64	32	54	71.99	42	3	20	1066	1366	653	17
NG_042800.1	11598.21	3682	8813	5996	2314	3727	9901.63	3485	1905.6	4806.91	4907	4622	2239	4349	7470	9163	9596	7869	7852	11632.12	7746.7	5085.66	5625.49	4227	7076.13	8506.67	9882.3	92	18	132	8327	709.8	1041.08	767
NG_042806.1	588	229	299	222	103	75	12	87	0	289	262	219	173	84	33.62	25.09	92	74	70	58	37	67	21	14	94	93	134	13	21	206	38.01	16	14	4
NG_042807.1	4	1	2	0	2	1	0	0	2	0	1	3	0	5	0	0	0	0	1	3	1	3	0	3	14	4	9	2	0	1	0	0	0	0
NG_042810.1	1678.58	598	868.71	4285.69	862.14	667.98	3276	877	1110	2637	4120.29	3488.21	2452.22	126	28	23	5048.24	4970.39	4669.05	141	4568	4	49	632	1461	2490	3002.65	19	6	771	132	15	74	2666
NG_042815.1	164	42	79	49	13	69	285	44	178	190	257	273	140	224	156	109	9	17	11	289	143.59	352	124	287	290.22	430	554	181.23	320	115	82	651	227	388
NG_042818.1	138	8	166	175	54	26	140	155.32	230.8	320.78	188	187	123	436	417	205	693	583	648	127	621	124	0	210	74	170	115	41	22	21	283	1462	436	11
NG_042821.1	827	231	332	276.67	233.07	312.02	113	9	44	9	1132	880	869	559	413	333	63.28	91.91	85.64	32	105	359.36	166.9	458	53	46	21	1278	181	103.58	465	100	805	222
NG_042822.1	39	5	9	75	9	1	450.62	1411	618.38	880.64	595	722	397	1394.3	150	141.44	1975	1982	1691	31.58	574.8	1796.94	196.04	254	426.43	428.78	610.04	1175.85	921.46	58	495	62	19	53
NG_042828.1	38.2	20.19	6.39	27	1	0	26	10	6	10	1011	760	443	33	27	25	470	555	462	6	104	66.88	1.07	19	36	21	29	24	18	25	219	54.48	34.03	1255
NG_042829.1	176.34	75.8	88.92	153.69	38	72	265.53	4	153.77	270.63	143	136	76	397	124	124	23	27	12	22	79.65	34	17	294	214	217	211	7	6	5	18.39	14	4	28
NG_042830.1	409	193	195	2467	1026	713	52	14	1665.11	2656.33	667.99	742.19	625.26	33	7	3	1483	1685	1525	26	1745.91	7.07	93.68	1562	62	50	59	12	11	558	17	70	37	69
NG_042832.1	139.62	113.32	51.88	136	3	6	147	5	423	1411	294.03	332.87	242.43	152.27	6	4	1470	1620	1511.67	36	24	37	387.18	51	34	196	221	41	2.22	391	188	1327.2	347	34
NG_042838.1	131	37	63	49	9	1	192	120	31.21	163.88	153	68	56	193	111	59	3197.15	2579.85	2302.13	66	27.21	32.49	0	102	139	121	157	82	15	60	61	2064.09	174.66	3
NG_042850.1	759	218	537	1102	397	464	11	135	198	262	1493	1589	1007	30	8	1	34	46	53	12	144	101	214.01	22	1358	2076	1589	288.69	100.2	28	25	30	7	34
NG_042851.1	854	340	347	632	486	367	206	373	434	394	1904	1599	1072	1089	658	331	340	289	299	1796.92	1814	994.8	135	1263.14	609	636	597.11	280	212	6	26	12	24	5
NG_042855.1	99	124	36	170	351	375	85	272	390	62	128	122	60	1009	502	305	209	167	136.95	6130.31	242	17	106	164	70	73	113	22	6	48.84	167	0	63	4
NG_042859.1	19	17	8	2	10	23	12	43	16	46	2	6	2	1003	436	188	34.83	22.34	31.56	14	230.42	45	105	4	4	2	2	4	0	20	32	1044	646	4
NG_042863.1	2	0	14	3	0	25	6	2	8	0	0	2	0	3.45	0	0	6	5	5.19	9	5	10	35	6	2	5	2	1	0	5.36	125	9	44	3
NG_042874.1	3252	1182	1962	2911.53	4944.57	4620.62	3120.48	5020.73	5028.55	4857.26	2022	1806	956	2950.77	5989.2	8002.12	2193	2609	1685	30	9	3744.31	6349.1	583	2138	1808	1412.14	618.1	540.39	838	8	10.98	11	31.36
NG_044984.2	1279.13	481.47	1146.12	229	193	104	28	227.12	696	757	636	437	296	467	760	741	166	142	107	452	22	327	59	1276	1227.03	1204.82	1134.59	16	10	315	109.72	364	151	3
NG_044999.1	51	13	80	6203	1320	242	423	5905	51	172	836.53	889	557.49	5151	1493	735	29437	20853	18406	9332.05	1302	12847.92	268.49	5722.39	827	660	465	9.21	15.13	34	64	735	205	12073.98
NG_045000.3	313	228	167	403	95	59	598	28	250	387	218	203	122	276	33	7	265	276	201	2525.49	102	1051.38	161	58	62	50	63	26	4	68	1390	9	27	8
NG_045002.3	164	55	59	1575	1836	1422	429.13	54	898	1629	1398	866	745	1701.21	1060.21	1355	2546	2147.68	2081.21	537	46	659	777	1552	1482.92	1419	1121	61	27	20.5	230	23	17	39.18
NG_045219.1	36	101	41	117	17	57.39	1543.24	327	106	21	2371	2624	1686.73	32.7	9	9	1339	1145	1038	35	11	13	141	694	40	46	55	30	6	30	548.51	18.71	31.86	52.2
NG_046155.1	2969	925	2069	1106	689	476	1145.1	1921	690.34	2198.96	2662	2856	1837	2936	1750	1101	3278.12	2765.85	2896.08	213	547	1124	1301	1085	1593	2756	2451	1958.93	1863.92	1381	248	441	217	1420
NG_046164.1	30	2	8	83	0	1.08	25	5	929	930	54	45.44	34.85	23	16	18	3489.53	3854.34	3234.45	203.39	157	330	22	7472	757	835	631	57	6	275.85	535.74	0	18	5234.39
NG_046331.1	1005.08	414.43	500.96	19	13	13	18	5	5	107	976.36	879.68	539.72	29	2	0	3065	2853	2446	2620	2482	22	139	172	1782	1922	2281	802	704	1590.34	237	102	91	970
NG_046341.1	12398	2370	8258	3444.76	882	607	11634.22	45	4827.9	12291.81	12230.1	10260.92	5549.21	12561.62	29837.39	39670.66	14070.94	20380.45	14089.48	187	8350.03	42	204	7486.43	7964.24	9778.11	7725.87	36	15	19603	679	2636	1430	10684.06
NG_046342.1	10.3	0	2.31	2732.1	2027.37	1061.9	38	36	3454	4276	70	40	58	19	4	3	1060	799	789	32	67	1619	101.54	24	25	50	47	622	563	856.62	44	9	10	1
NG_046601.1	103	101.58	42.15	99	27	77	222	1488	4177.45	8450.16	4951.59	4606.43	2770.8	139	43	13	6403.99	6139.39	4936.77	6693	6865	4908.04	450	3579.52	2189	2831	4656	19	10	284	72	3192.39	999	4572
NG_046603.1	811	371	451	151	168	88	6771	290	8332	13324	11057.79	11264.73	7119.25	10439.55	2514.34	1614.26	8110.25	7816.45	8233.29	7648.06	166	6079.04	2222.7	3979	7937	10577	11732	56	9	182	197	9749	2595	68
NG_046695.1	114	42	138	6.04	10.28	10	10	290	1	7	678	622	329	20	70	91	24	37	45	0	0	0	0	82.24	26	230	47	0	6	49	92	2	0	383
NG_046725.1	297	61	453	371	335.78	368.75	195	122	58	148	28	18	13	35	41	35	30.58	63.6	55.29	59.03	6	2059	2039	448	432	494	314	5	0	200	2	110	26	600.89
NG_046730.1	486	201	384	2527	1879	4008	8	1476	381.44	1036	6	15	21	0	72	58	2148.88	2843.98	2458.79	19	10	86	40	862	2498	3464	2319	8	3	29	81	333	84	13
NG_046731.1	32.78	2.04	25.98	49	14	5	223	8	281	512	386	432	170	498	1152	1128	2	25	19.09	45	184	30	0	228	440	563	636	2	1	1	36	7	11	1
NG_046742.1	5473.12	710.09	3404.1	4015.33	1739.36	808.37	29	1618	1951.77	3763.44	5690.42	4809.64	2695.58	66.28	28.63	14.85	10164	10069	7928	69	4402	4075	138	3054	4495	4973	5254	1719	887	7755	1559.1	25	9	5279
NG_046752.1	384	157	256	547.32	562	616	4063	2149	32	28	6122	5196	3538	200	208	209	197.02	175.81	167	1953	13	2355	64	706.72	2437	3906	5108	3392	2598	386.81	90	23	3	60
NG_046771.1	1582	394	1580	4.08	0	1.85	807	9.84	952	912	1414	1077	611.12	1163	1927	2334	1725	2408	1633	2	16	1613	1743	1137	1494.84	1408.08	1171.41	26	20	2280.49	172	39	29	30.52
NG_046780.1	434	161	248	424	34	17	37	633	681	725	120	84	112	2891	565	329	42	41	30	816	186	1342	688	250	1092	1498	1918	3	5	1014	59	90	44	527
NG_046782.1	204.54	62	95	342	8	27	74	98	112	176	97	48	76	91	11	9	91	53	60	46	32	65	178	69	6	56	54	24	11	32	57	19	5	61
NG_046847.1	19	12	1	5903.79	1702.81	767.51	8	159	3511.38	6001	11799.55	10774.74	6856.75	6124.01	2350	1367	9173	9591	7729	3274	136	6104.62	1513	4674.93	4473.35	5729.7	6689.12	11	13	20	16	35	13	27
NG_046848.1	334.08	112.64	256.84	60	8	0	12	10	254.95	514.4	30	34.08	21	255	145	110	5.93	39.64	23.64	459.22	545.12	26	4	44	23	11	34	236	274	10	27	121	23	13.96
NG_046850.1	716	653	311	3815	1846	733	2986.41	72	5529.04	12183.65	6421	4750	3613	7424	2843	2471.29	3863	3334	2334	3226.45	1180	1712.61	254	3069	1260	1246	805	98.19	68.35	2857	25.89	2	9	8
NG_046859.1	0	0	0	0	0	4	0	6	0	0	3	1	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	4	4	3.87
NG_046860.1	234.89	101.5	118.61	8.39	4.68	11.14	12	9	1416.82	1734.06	3345.33	2970.38	1577.91	1427.48	1983.2	2050.97	19	25	19	44	43	51.66	11.33	859	548	658	568	14	5	8	16	43	6	8
NG_046885.1	449	147	313	592	218	126	533	45	470	1015	883	626	603	828	177	146	579	453	426	591	8.26	25	2	439	10195.99	9299	7297	22.24	21.25	61.75	375	79	47	543
NG_046902.1	5402	1422	4049	5737	5054	2144.99	3386	3046.04	4626	6052	5394.44	5219	3088	4674.23	5270.79	4268.87	2330.9	2372.35	2139.84	2510.23	2723.31	5023.88	1215.43	3197.61	3427	4056	3446	4780	3928	8318	465.08	1047.79	239.35	2315.29
NG_046904.1	0	82.11	0	5	26	2	3	24	6	9	5	7	3	26	6	13	27	20	222	422	4	0	6	8	19	410	27	2	0	18	0	253.25	218.62	20
NG_046905.1	3765.66	1110.04	1874	3332	1422	1614	1749	870	2948.98	4987	6353.71	5594.02	2770.83	7166.05	10533.91	10896.41	3775	5614	3270	353.18	2024	5001	5952	2750	786	842	1172	14	8	4746	598	3167.39	1098.24	2065
NG_046908.1	1746	411	1120	2497	1556.01	1153.11	1933	634	827.5	1745.13	3995.35	3283.63	2017.09	84.97	212.95	298.79	7651	7802	6118	3406	3387	3031	1345	58	1360.94	2076.53	2310.87	90	68	72	757	1920.87	622.39	148
NG_046913.1	39	26	21	15	3	35	212	3	494	525	693	708	363	24	20	19	16	5.48	19	7	407	14	83	454	16	28	23	5	0	10	34	229	93	476
NG_046914.1	105	341	34	1361	860	575	29	22	163	21	71	98	116	1179.81	567.5	246.42	1673.11	1562.41	2267.96	1665	148	1213	457	661	769	1137	958	354.68	210.15	903	3700	193	16	424
NG_046915.1	34	36	25	2810	1533	1066	44	18	1546.34	3327.14	2136	2195	1112	678.13	1057.77	1108.73	2822	2953	2511	83	58	2567.74	378	1576	2411.19	2494.2	3375.38	16.78	1.82	15	63	6	37.11	3
NG_046917.1	4015	1062	2537	2140	1339	941	922.44	2251	1909	5653	8012	7803	5323	7081.8	3111	953	27	159	141	134	72	3105	1017	3671	3164	7464	9088	32	23	16	185	51	5	45
NG_046919.1	1297	1667	785	719	120	291	71	94	2570	433	356	486	412	507	47	7	1690.04	1472.35	1659.95	385	761	876	874	502	606	358	730	743	362	299	915	283	676	406
NG_046922.1	85	75	19	132	15	9	1817	46	1024	2458	5063	6366	1891	1619	713	508	1324	1347	1082	579	42	1880	158	44	895	899	1289	10	4	9	204.76	1039	560	304.08
NG_046923.1	607.45	581	854	1905	413	343	2209	164.88	1514	4189	2419	2584	1314	599.74	74	10	3244	3283	2945	3897	3035.09	9492	12838	629	241	198	458	76	37	92	392	26	80	34
NG_046926.1	22	12	12	51	1	12	13	41	13	6	43	61	36	39	9	1	11	20	33	4	25	0	38	16	15	335	62	15	11	3	49	73	53	79
