	H1C	H2C	H3C	C1C	C2C	C3C	gor1C	Pon1C	SiaC1	SiaC2	rhesus1C	rhesus2C	rhesus3C	Bab1C	Bab2C	Bab3C	Mar1C	Mar2C	Mar3C	sqmnky1C	saki1C	ateles1C	ateles2C	Nem1C	patas1C	patas2C	patas3C	lemur1C	lemur2C	eulemur1C	sleloris1C	slowloris1C	slowloris2C	pygslowloris1C
NG_008020.1	20	37	13	22	7	21	5	4	40	8	100	106	103	96	101	37	37	38	75	34	11	0	22.97	45	8	57.56	26.05	13	19	5	48	7	4	4
NG_008034.1	270	68	149	0	6.98	19.01	10	157	36.13	0	11	5	9	358	626	723	85	66	35	17	425.71	1	0	123.62	10	7	9	255	193	1	90	23	81	0
NG_008044.1	1356	451	1004	1146	1335	928.95	937.77	331.76	1327	1009	627.24	581.71	338.9	433	602.7	595	639	536	430	49	494	537	222	562	624	614	629	9	4	541	127	62	49	2
NG_008045.1	2069	463	1357	2041	1189	802	85.92	10	6.07	5	3	3	3	132	43	15	65	38	40	12	1	2006.71	1030.48	7	6	6	15	16	19	8	29	68	8	27
NG_008053.1	47	51	32	90	7	21	19	12	47	27	40	46	35	37	5	1	2348	2141.77	2585.72	77	2	18	203.68	17	39	27	21	2	0	5	20	7	10	1
NG_008054.1	33	44	13	153.67	71.4	65.07	409.46	27	52	37	40	50	20	946	1209.67	1133.89	11	63	39	75	57	649.11	301	1479.47	19	14	26	32	16	15.84	718	136.21	28.5	2130
NG_008069.1	4312	567	2334	8660	3203	451	5007	3198	3148	8253	8393.73	8882.54	4777.14	9373.03	5076	3025	11849	13991	10542	4969	29209.15	4556	32	5046	5301.49	12780.07	13857.75	2920	2275	76	2543.51	525	127	845
NG_008074.1	855	308	620.24	27	22	52	338	32	654	1469	1399	1449	833	63	10	11	551	402	309	1155	1507	1606.87	106.08	806	1170	2129.57	2875	1945	1405	1483	553	1659	422	2343.42
NG_008091.1	66	46.97	101	1298	1404	1151	1238.72	49	1156	5436	1155	849	512	1326	1996	2516.37	1232.24	1208.38	1134.01	134	830.74	1564	1490	308	1329.66	1404.68	1093.07	112	73	2131.66	735	1373	923	94
NG_008092.1	65	60	18	77	34	25	67.96	12	23	43	106	103	43	4	1	1	308	340	264	170.7	450	379.67	75.05	94	11	28	16	56	17	10	68	14	4	19
NG_008112.1	65	52	25	17	3	30	10	1	27	2	13	7	12	25	10	3	2	2	4	31	9	1	17	34	16	18	17	5	1	5	39	31	31	7
NG_008126.1	37	36	3	51	19	2	65.76	29	20	7	713	729	422	913	230	121	186	155	79.94	12	1098	27	11	91	39	25	36	866.13	397	53	94	36	6	4
NG_008127.1	14	10	5	33	28	6	86	9	46	46	24	28	14	5.06	5.02	2.01	24	43	20	4	8.92	16.91	2.04	28	2591	2463	1192	3	0	40.01	130	1048	470	1860
NG_008131.3	210	55	157	1015.11	489.97	513	115	784	1261	1433	1492	1305	840	2842.47	2387.91	2433.73	1155	1128.39	1044.2	631.3	572.72	568.96	802.43	1670	1695	1833	1751	41	49	20	871	2264	578	2950.15
